University,CV_team_name,link
Tongji University (Shanghai),TJU Racing,https://tid.fsg.one/463
Northeastern University,NEU DUN Racing Team,https://tid.fsg.one/651
Hubei University of Automotive Technology,HUAT  Racing Team,https://tid.fsg.one/526
Tianjin University,Peiyang Power Racing,https://tid.fsg.one/546
Tianjin University Internal Combustion Engine Research Institute,TU-TICERI FSAE TEAM,https://tid.fsg.one/632
Harbin Institute of Technology at Weihai,HRT,https://tid.fsg.one/539
Xiamen University of Technology,AMOY,https://tid.fsg.one/594
Universidad Tecnológica de Pereira,WRL-Combustion,https://fs-world.org/p2.php?u=1122&c=1
University of Rijeka,Riteh Racing Team,https://tid.fsg.one/268
University of Split,FESB Racing,https://tid.fsg.one/483
University of Zagreb,FSB Racing Team,https://tid.fsg.one/521
Brno University of Technology,TU Brno Racing,https://tid.fsg.one/358
Technical University of Liberec,FS TUL Racing,https://tid.fsg.one/824
VŠB - Technical University of Ostrava,Formula TU Ostrava,https://tid.fsg.one/711
University of West Bohemia (Plzen),Racing Team Pilsen,https://tid.fsg.one/207
Czech Technical University in Prague,CTU CarTech,https://tid.fsg.one/188
Czech University of Life Sciences Prague,CULS Prague Formula Racing,https://tid.fsg.one/185
Aalborg University,AAU Racing,https://tid.fsg.one/118
VIA University College (Horsens),VIA-Hunters Racing Team,https://tid.fsg.one/870
University of Southern Denmark (Odense),SDU - Vikings Racing Team,https://tid.fsg.one/261
Universidad Politecnica Salesiana,UPS RACING TEAM,https://tid.fsg.one/502
Universidad de las Fuerzas Armadas - ESPE (Latacunga),FESPE,https://tid.fsg.one/306
Universidad Tecnológica Equinoccial,GT,https://tid.fsg.one/466
Alexandria University,Alexandria University Motorsports,https://tid.fsg.one/267
"Arab Academy for Science, Technology & Maritime Transport (AASTMT) (Alexandria)",AAM Racing Team,https://tid.fsg.one/660
Higher Technological Institute,HTI formula student,https://tid.fsg.one/734
Assiut University,Formula Assiut,https://tid.fsg.one/761
Ain Shams University (Cairo),WRL-Combustion,https://fs-world.org/p2.php?u=843&c=1
Cairo University (Giza),Cairo Uni Racing Team,https://tid.fsg.one/479
Helwan University (‏جامعة حلوان),Helwan Formula Student Racing Team,https://tid.fsg.one/564
Kafrelsheikh University (Kafr El-Shaikh),Kafr El Sheikh Racing Team,https://tid.fsg.one/1032
Mansoura University,WRL-Combustion,https://fs-world.org/p2.php?u=1026&c=1
Menoufia University,Menoufia Formula Student,https://tid.fsg.one/868
Canadian International Collage - New Cairo,Radix CIC Racing Team,https://tid.fsg.one/1238
German University in Cairo,GUC Students Automotive Society,https://tid.fsg.one/629
South Valley University,SVU Formula Team,https://tid.fsg.one/999
Zagazig University,ZUFS Racing Team,https://tid.fsg.one/739
Tallinn TU UAS,FS Team Tallinn,https://tid.fsg.one/201
Helsinki University of Technology (Espoo),Otaniemi Flying Finns,https://tid.fsg.one/154
Helsinki Metropolia University of Applied Sciences,Metropolia Motorsport,https://tid.fsg.one/37
University of Oulu,Formula Student Oulu,https://tid.fsg.one/817
TAMK University of Applied Sciences,Tampere Formula Student,https://tid.fsg.one/205
ENSTA Bretagne,ENSTA Bretagne Racing Team,https://tid.fsg.one/1130
École Centrale Paris,WRL-Combustion,https://fs-world.org/p2.php?u=902&c=1
École des Mines de Douai,WRL-Combustion,https://fs-world.org/p2.php?u=525&c=1
École Centrale de Lyon (Ecully),Ecurie Piston Sport Auto,https://tid.fsg.one/587
ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile) (Levallois-Perret),Estaca Formula Team,https://tid.fsg.one/533
Ecole Nationale d'Ingénieurs de Metz,Metz Racing Team,https://tid.fsg.one/219
University of Burgundy - ISAT (Nevers),ISAT Formula Team,https://tid.fsg.one/121
Institut National des Sciences Appliquées de Rennes,Formula Student INSA Rennes,https://tid.fsg.one/193
Ecole Nationale d'Ingénieurs de Tarbes,Concept65 Racing Team,https://tid.fsg.one/292
Université de Versailles-Saint-Quentin-en-Yvelines,DMS Racing Team,https://tid.fsg.one/263
National Institute of Applied Sciences Lyon (Villeurbanne),INSA Racing Team,https://tid.fsg.one/1216
Fachhochschule Aachen,Aixtreme Racing,https://tid.fsg.one/140
Rheinisch-Westfälische Technische Hochschule Aachen,Ecurie Aix - Formula Student Team RWTH Aachen e.V.,https://tid.fsg.one/17
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Running Snail Racing Team,https://tid.fsg.one/38
Universität Bayreuth,Elefant Racing,https://tid.fsg.one/31
Berlin School of Economics,BA Motors,https://tid.fsg.one/76
Hochschule für Technik und Wirtschaft Berlin,HTW Motorsport,https://tid.fsg.one/41
Technische Universität Berlin,FaSTTUBe Combustion,https://tid.fsg.one/32
Ruhr-Universität Bochum,RUB Motorsport,https://tid.fsg.one/94
Technische Universität Braunschweig,Lions Racing Team,https://tid.fsg.one/14
Technische Universität Clausthal,Green Voltage Racing,https://tid.fsg.one/408
Fachhochschule Coburg,CAT-Racing,https://tid.fsg.one/129
Brandenburgische Technische Universität Cottbus,BTU-Motorsport,https://tid.fsg.one/153
"Hochschule Darmstadt, UAS",Formula Student Team Darmstadt,https://tid.fsg.one/199
Technische Universität Darmstadt,Akademische Motorsportgruppe Darmstadt e.V.,https://tid.fsg.one/28
Deggendorf Institute of Technology,Fast Forest,https://tid.fsg.one/173
Fachhochschule für Wirtschaft und Technik,Deefholt Dynamics e.V.,https://tid.fsg.one/64
Fachhochschule Dortmund,FH-Dortmund Race-Ing.,https://tid.fsg.one/50
Technische Universität Dortmund,GET racing Dortmund e.V.,https://tid.fsg.one/43
Technische Universität Dresden,Elbflorace,https://tid.fsg.one/86
Friedrich-Alexander-Universität Erlangen-Nürnberg,High-Octane Motorsports e.V.,https://tid.fsg.one/95
Hochschule Esslingen,Rennstall Esslingen,https://tid.fsg.one/68
Fachhochschule Frankfurt am Main,FH Frankfurt am Main Racing Team,https://tid.fsg.one/152
Technische Universität Bergakademie Freiberg,Racetech Racing Team TU Bergakademie Freiberg e.V.,https://tid.fsg.one/72
