Country,City,University,CV_team_name,CV_link,EV_team_name,EV_link,DV_team_name,DV_link
Canada,Vancouver,University of British Columbia - Vancouver,WRL-Combustion,https://fs-world.org/p2.php?u=355&c=1,,,,
Canada,Victoria,University of Victoria,UVic Racing,https://tid.fsg.one/89,,,,
Canada,Waterloo,University of Waterloo,University of Waterloo Formula Motorsports,https://tid.fsg.one/317,UW Electric Motorsports,https://tid.fsg.one/586,Waterloo Autonomous Racing,https://tid.fsg.one/1184
Canada,Windsor,University of Windsor,Lancer Motorsports,https://tid.fsg.one/47,,,,
Canada,Winnipeg,University of Manitoba,Polar Bear Racing,https://tid.fsg.one/236,Electric Polar Bear Racing,https://tid.fsg.one/569,,
China,Beijing,Beihang University,,,AERO,https://tid.fsg.one/1018,,
China,Beijing,Beijing Institute of Technology,BIT-RACING,https://tid.fsg.one/445,Beijing Institute of Technology FSAE,https://tid.fsg.one/648,Beijing Institute of Technology FSD,https://tid.fsg.one/789
China,Beijing,Tsinghua University (Beijing),THU Racing,https://tid.fsg.one/527,,,,
China,Changchun,Jilin University (Changchun),Gspeed Formula Racing Team of Jilin University,https://tid.fsg.one/989,Gspeed Electric Racing,https://tid.fsg.one/1033,,
China,Changsha,Central South University - Changsha (Changsha),,,WRL-Electric,https://fs-world.org/p2.php?u=1213&c=2,,
China,Changsha,Hunan University (Changsha),Hunan University Racing Team,https://tid.fsg.one/654,HNU Electric Racing,https://tid.fsg.one/1110,,
China,Guangzhou,Guangdong University of Technology (Guangzhou),,,WRL-Electric,https://fs-world.org/p2.php?u=1206&c=2,,
China,Guangzhou,South China University of Technology,,,SCUT E-Racing,https://tid.fsg.one/1246,,
China,Hangzhou,Zhejiang University City College,WRL-Combustion,https://fs-world.org/p2.php?u=1040&c=1,,,,
China,Hefei,Hefei University of Technology,,,HFUT racing team,https://tid.fsg.one/607,,
China,Jiaxing City,TongJi ZheJiang College (Jiaxing City),Dragon Racing Team,https://tid.fsg.one/929,,,,
China,Jinzhou,Liaoning University of Technology (Jinzhou),LUT,https://tid.fsg.one/652,Wonder Racing Team of Electricity,https://tid.fsg.one/941,Wonder Driverless Racing Team,https://tid.fsg.one/992
China,Liuzhou,Guangxi Science and Technology University Lushan College,,,Guangxi Lushan LS Racing,https://tid.fsg.one/709,,
China,Liuzhou,Guangxi University of Science and Technology (Liuzhou),GXUST Racing,https://tid.fsg.one/1016,,,,
China,Qingdao,Qingdao Technological University,QTU,https://tid.fsg.one/545,,,,
China,Shanghai,Shanghai Jiao Tong University,WRL-Combustion,https://fs-world.org/p2.php?u=365&c=1,,,,
China,Shanghai,Tongji University (Shanghai),TJU Racing,https://tid.fsg.one/463,Tongji DIAN Racing Team,https://tid.fsg.one/516,DIAN Racing Driverless,https://tid.fsg.one/858
China,Shenyang,Northeastern University,NEU DUN Racing Team,https://tid.fsg.one/651,,,,
China,Shiyan,Hubei University of Automotive Technology,HUAT  Racing Team,https://tid.fsg.one/526,HUATE Racing Team,https://tid.fsg.one/899,,
China,Tianjin,Tianjin University,Peiyang Power Racing,https://tid.fsg.one/546,,,,
China,Tianjin,Tianjin University Internal Combustion Engine Research Institute,TU-TICERI FSAE TEAM,https://tid.fsg.one/632,,,,
China,Weihai,Harbin Institute of Technology at Weihai,HRT,https://tid.fsg.one/539,HIT Racing Team,https://tid.fsg.one/705,HRT Driverless,https://tid.fsg.one/984
China,Xiamen,Xiamen University of Technology,AMOY,https://tid.fsg.one/594,AMOY Racing club,https://tid.fsg.one/1123,,
Colombia,Pereira,Universidad Tecnológica de Pereira,WRL-Combustion,https://fs-world.org/p2.php?u=1122&c=1,,,,
Croatia,Rijeka,University of Rijeka,Riteh Racing Team,https://tid.fsg.one/268,,,,
Croatia,Split,University of Split,FESB Racing,https://tid.fsg.one/483,xxxxx,https://tid.fsg.one/1267,,
Croatia,Zagreb ,University of Zagreb,FSB Racing Team,https://tid.fsg.one/521,FSB Racing Team,https://tid.fsg.one/920,FSB Racing Team,https://tid.fsg.one/1229
Cyprus,Nicosia,Frederick University,,,,,Hope Driving,https://tid.fsg.one/969
Czech Republic,Brno,Brno University of Technology,TU Brno Racing,https://tid.fsg.one/358,TU Brno eRacing,https://tid.fsg.one/1116,,
Czech Republic,Liberec,Technical University of Liberec,FS TUL Racing,https://tid.fsg.one/824,,,,
Czech Republic,Ostrava,VŠB - Technical University of Ostrava,Formula TU Ostrava,https://tid.fsg.one/711,,,,
Czech Republic,Plzen,University of West Bohemia (Plzen),Racing Team Pilsen,https://tid.fsg.one/207,eRacing Team Pilsen,https://tid.fsg.one/1265,,
Czech Republic,Prague,Czech Technical University in Prague,CTU CarTech,https://tid.fsg.one/188,eForce FEE Prague Formula,https://tid.fsg.one/394,eForce Driverless,https://tid.fsg.one/1070
Czech Republic,Prague,Czech University of Life Sciences Prague,CULS Prague Formula Racing,https://tid.fsg.one/185,,,,
Denmark,Aalborg,Aalborg University,AAU Racing,https://tid.fsg.one/118,,,,
Denmark,Horsens,VIA University College (Horsens),VIA-Hunters Racing Team,https://tid.fsg.one/870,,,,
Denmark,Kgs. Lyngby,Technical University of Denmark (Kgs. Lyngby),,,Vermilion Racing,https://tid.fsg.one/1194,,
Denmark,Odense,University of Southern Denmark (Odense),SDU - Vikings Racing Team,https://tid.fsg.one/261,SDU-Vikings,https://tid.fsg.one/433,,
Ecuador,Cuenca,Universidad Politecnica Salesiana,UPS RACING TEAM,https://tid.fsg.one/502,,,,
Ecuador,Latacunga,Universidad de las Fuerzas Armadas - ESPE (Latacunga),FESPE,https://tid.fsg.one/306,FESPE-ELECTRIC,https://tid.fsg.one/525,,
Ecuador,Quito,Universidad Tecnológica Equinoccial,GT,https://tid.fsg.one/466,,,,
Egypt,Alexandria,Alexandria University,Alexandria University Motorsports,https://tid.fsg.one/267,,,,
